# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
0.720000 5.7451013500e-05 2.3559610000e-02 9.7638294000e-01 5.2007563400e-05 1.0671290000e-02 9.8927670000e-01
0.730000 5.4396027200e-05 2.1893940000e-02 9.7805167000e-01 4.9043974500e-05 1.0380450000e-02 9.8957051000e-01
0.740000 5.1577177700e-05 2.0381760000e-02 9.7956666000e-01 4.6325618100e-05 1.0345430000e-02 9.8960824000e-01
0.750000 4.8994245800e-05 1.9033100000e-02 9.8091791000e-01 4.3848131000e-05 1.0551300000e-02 9.8940485000e-01
0.760000 4.6601801200e-05 1.7860530000e-02 9.8209286000e-01 4.1566610300e-05 1.0996020000e-02 9.8896242000e-01
0.770000 4.4383652500e-05 1.6871280000e-02 9.8308433000e-01 3.9463146200e-05 1.1669230000e-02 9.8829131000e-01
0.780000 4.2337923500e-05 1.6062470000e-02 9.8389519000e-01 3.7532723800e-05 1.2549000000e-02 9.8741347000e-01
0.790000 4.0437145100e-05 1.5441570000e-02 9.8451800000e-01 3.5748179200e-05 1.3632750000e-02 9.8633150000e-01
0.800000 3.8668719500e-05 1.5002200000e-02 9.8495913000e-01 3.4095562300e-05 1.4902240000e-02 9.8506367000e-01
0.810000 3.7021268300e-05 1.4740250000e-02 9.8522273000e-01 3.2562559000e-05 1.6344970000e-02 9.8362247000e-01
0.820000 3.5489383200e-05 1.4656640000e-02 9.8530787000e-01 3.1142823100e-05 1.7953080000e-02 9.8201578000e-01
0.830000 3.4882429600e-05 1.4681920000e-02 9.8528320000e-01 3.0558790700e-05 1.9423870000e-02 9.8054557000e-01
0.840000 3.5925827700e-05 1.4674760000e-02 9.8528932000e-01 3.1454452100e-05 2.0393890000e-02 9.7957466000e-01
0.850000 3.6997507600e-05 1.4685640000e-02 9.8527737000e-01 3.2375390300e-05 2.1358070000e-02 9.7860955000e-01
0.860000 3.8070740000e-05 1.4714750000e-02 9.8524718000e-01 3.3297786000e-05 2.2321980000e-02 9.7764472000e-01
0.870000 3.9161896900e-05 1.4757970000e-02 9.8520287000e-01 3.4236358300e-05 2.3276070000e-02 9.7668969000e-01
0.880000 4.0275692900e-05 1.4818070000e-02 9.8514166000e-01 3.5195791800e-05 2.4220690000e-02 9.7574411000e-01
