# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
0.720000 6.0372626900e-05 5.0428450000e-02 9.4951118000e-01 5.9792407800e-05 4.7676000000e-02 9.5226420000e-01
0.730000 5.7008520700e-05 4.6483430000e-02 9.5345956000e-01 5.6364358700e-05 4.3515700000e-02 9.5642793000e-01
0.740000 5.3921830800e-05 4.2613920000e-02 9.5733216000e-01 5.3196969300e-05 3.9341030000e-02 9.6060577000e-01
0.750000 5.1103894700e-05 3.8865620000e-02 9.6108327000e-01 5.0286760400e-05 3.5205060000e-02 9.6474465000e-01
0.760000 4.8498660800e-05 3.5237970000e-02 9.6471353000e-01 4.7587899300e-05 3.1135690000e-02 9.6881672000e-01
0.770000 4.6083462200e-05 3.1749710000e-02 9.6820421000e-01 4.5090771100e-05 2.7200020000e-02 9.7275489000e-01
0.780000 4.3853316900e-05 2.8434660000e-02 9.7152149000e-01 4.2803062900e-05 2.3487710000e-02 9.7646949000e-01
0.790000 4.1776734300e-05 2.5294580000e-02 9.7466365000e-01 4.0703739600e-05 2.0050380000e-02 9.7990892000e-01
0.800000 3.9841142900e-05 2.2358550000e-02 9.7760161000e-01 3.8784987100e-05 1.6946430000e-02 9.8301478000e-01
0.810000 3.8035767400e-05 1.9647020000e-02 9.8031494000e-01 3.7035599200e-05 1.4202030000e-02 9.8576093000e-01
0.820000 3.6355863300e-05 1.7175290000e-02 9.8278835000e-01 3.5446531600e-05 1.1819020000e-02 9.8814553000e-01
0.830000 3.5626308600e-05 1.5121930000e-02 9.8484244000e-01 3.4818603300e-05 9.9642600000e-03 9.9000092000e-01
0.840000 3.6574470900e-05 1.3560420000e-02 9.8640300000e-01 3.5859181900e-05 8.6948900000e-03 9.9126925000e-01
0.850000 3.7546173400e-05 1.2158550000e-02 9.8780390000e-01 3.6943921700e-05 7.6101500000e-03 9.9235290000e-01
0.860000 3.8514172400e-05 1.0912170000e-02 9.8904932000e-01 3.8042782200e-05 6.6831900000e-03 9.9327877000e-01
0.870000 3.9494484400e-05 9.8210700000e-03 9.9013944000e-01 3.9168443300e-05 5.8968200000e-03 9.9406402000e-01
0.880000 4.0490273100e-05 8.8761400000e-03 9.9108337000e-01 4.0321701400e-05 5.2315300000e-03 9.9472815000e-01
0.890000 4.1490230500e-05 8.0728900000e-03 9.9188562000e-01 4.1488797900e-05 4.6734100000e-03 9.9528510000e-01
0.900000 4.2496180400e-05 7.4121900000e-03 9.9254531000e-01 4.2668718200e-05 4.2156600000e-03 9.9574167000e-01
0.910000 4.3508614600e-05 6.8781400000e-03 9.9307835000e-01 4.3860776600e-05 3.8447200000e-03 9.9611142000e-01
0.920000 4.4529627000e-05 6.4714000000e-03 9.9348407000e-01 4.5064635700e-05 3.5585800000e-03 9.9639636000e-01
0.930000 4.5558782800e-05 6.1860900000e-03 9.9376835000e-01 4.6278135800e-05 3.3532200000e-03 9.9660050000e-01
0.940000 4.6599661200e-05 6.0133900000e-03 9.9394001000e-01 4.7503603700e-05 3.2243600000e-03 9.9672814000e-01
0.950000 4.7637209700e-05 5.9524500000e-03 9.9399991000e-01 4.8724117200e-05 3.1726600000e-03 9.9677862000e-01
0.960000 4.8685965600e-05 5.9936200000e-03 9.9395769000e-01 4.9953306000e-05 3.1952900000e-03 9.9675476000e-01
0.970000 4.9724017400e-05 6.1348100000e-03 9.9381547000e-01 5.1167707500e-05 3.2931500000e-03 9.9665568000e-01
0.980000 5.0779913900e-05 6.3695100000e-03 9.9357971000e-01 5.2395074500e-05 3.4661300000e-03 9.9648148000e-01
0.990000 5.1842761900e-05 6.6940600000e-03 9.9325410000e-01 5.3623454600e-05 3.7147000000e-03 9.9623167000e-01
1.000000 5.2905625500e-05 7.1023500000e-03 9.9284474000e-01 5.4845090700e-05 4.0378900000e-03 9.9590726000e-01
1.010000 5.3975453000e-05 7.5908600000e-03 9.9235516000e-01 5.6066241600e-05 4.4364700000e-03 9.9550747000e-01
1.020000 5.5045367500e-05 8.1538400000e-03 9.9179112000e-01 5.7279353300e-05 4.9091300000e-03 9.9503359000e-01
1.030000 5.6115419400e-05 8.7869500000e-03 9.9115694000e-01 5.8483922600e-05 5.4553700000e-03 9.9448615000e-01
1.040000 5.7192706600e-05 9.4868300000e-03 9.9045598000e-01 5.9686748800e-05 6.0750800000e-03 9.9386524000e-01
1.050000 5.8288550800e-05 1.0247170000e-02 9.8969454000e-01 6.0899124400e-05 6.7657300000e-03 9.9317337000e-01
1.060000 5.9384954000e-05 1.1065020000e-02 9.8887560000e-01 6.2102370600e-05 7.5263200000e-03 9.9241158000e-01
1.070000 6.0470778700e-05 1.1939090000e-02 9.8800044000e-01 6.3284869900e-05 8.3569800000e-03 9.9157974000e-01
1.080000 6.1575671700e-05 1.2862000000e-02 9.8707642000e-01 6.4476913000e-05 9.2534000000e-03 9.9068212000e-01
1.090000 6.2688550500e-05 1.3832740000e-02 9.8610457000e-01 6.5667138100e-05 1.0215210000e-02 9.8971912000e-01
1.100000 6.3802536000e-05 1.4847240000e-02 9.8508896000e-01 6.6848399200e-05 1.1239490000e-02 9.8869366000e-01
1.110000 6.4936086600e-05 1.5901100000e-02 9.8403396000e-01 6.8039784500e-05 1.2322960000e-02 9.8760900000e-01
1.120000 6.6059699300e-05 1.6995540000e-02 9.8293840000e-01 6.9211012300e-05 1.3466130000e-02 9.8646466000e-01
1.130000 6.7184768700e-05 1.8125800000e-02 9.8180702000e-01 7.0373884000e-05 1.4664990000e-02 9.8526464000e-01
